username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Joe Bob 517:5,517164852,3/14/2018 18:39,"RT @TerranceCreamer: Honoring United States Marine Corps Staff Sgt. Archie A. Taylor, 37 of Tomball, Texas, assigned to the 2nd Intelligenc…",70,4259,5004,0,0
Varun Vijay,170616732,3/14/2018 18:39,"RT @scroll_in: Afghanistan: At least 10 security personnel killed in insurgent attack on checkpoint

https://t.co/dg33ybkth8",0,5156,3521,-0.25,0.2
Ali Fahumee,876374886,3/14/2018 18:38,@cjwerleman West and USA is responsible. They are arming terrorists and other groups to fight syrian Arab Army to d… https://t.co/D0rtLd0uTK,0,193,423,0.0375,0.4625
Ann Turner,2209906939,3/14/2018 18:38,"RT @LBF777: Although George HW Bush, aka Poppy, runs the worldwide drug trade, Obama, aka Renegade, ran the Afghanistan Opium market where…",4,582,476,0,0
Terrormonitor.org,3055067522,3/14/2018 18:38,"#AFGHANISTAN
#IslamicState’s Khorasan Province (#ISKP) Releases Pictures Showing Execution Of 3 Men Accused Of  Sol… https://t.co/jiAy4V6Mxc",1,97082,3348,0,0
MaRiaH Raza🇵🇰,3316128059,3/14/2018 18:38,RT @viitvdotcom: #US officials confirm that #Afghanistan has become the biggest #terrorist safe haven in the world with potential to destab…,8,4726,293,0.25,0.75
BhaktOfSwVivekananda,8.85173E+17,3/14/2018 18:38,"RT @VashiMant: Every 44 of 100 kids in Kerala born today r Ms. Number is even more in West UP, WB, Assam. Half of India will look like Afgh…",127,227,1915,0.166666667,0.333333333
Dharamkriti Pratap Singh,756800748,3/14/2018 18:37,"RT @VashiMant: Every 44 of 100 kids in Kerala born today r Ms. Number is even more in West UP, WB, Assam. Half of India will look like Afgh…",127,141,81,0.166666667,0.333333333
Abdulhaq Omeri,175163085,3/14/2018 18:37,"""Kabul is our main effort. To harden Kabul, to protect the people of Kabul and the international community that are… https://t.co/o4EvqVHuhC",0,21342,458,0.083333333,0.166666667
🇺🇸American Mom🌹,7.04354E+17,3/14/2018 18:37,"RT @LBF777: Although George HW Bush, aka Poppy, runs the worldwide drug trade, Obama, aka Renegade, ran the Afghanistan Opium market where…",4,6307,2629,0,0
Leo of Montrèal,8.85886E+17,3/14/2018 18:37,"#Afghanistan 
#Canada #Military 

Bahadur the brave: Afghan bomb disposal hero killed 
https://t.co/hdapZq7kDj",0,19,44,0.166666667,0.366666667
