username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Yusuke Skater,479197646,3/14/2018 18:40,"""If it's not love then it's the bomb that will bring us together.""",0,546,650,-0.25,0.6
kiara ????,162031092,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,384,294,-0.05,0.1
Will,37537116,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,953,1077,-0.05,0.1
??çÅ,7.96E+17,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,123,123,-0.05,0.1
KingDe????????????,7.69E+17,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,114,110,-0.05,0.1
Martha X,1365322266,3/14/2018 18:40,"RT @usblm: Draylen Mason was the 17 year old musician who was tragically killed this week from a package bomb on his doorstep in Austin, TXÉ??",8083,1497,196,-0.05,0.1
Lidia,1856398910,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,993,753,-0.05,0.1
Eteka???????™,2218473074,3/14/2018 18:40,"RT @usblm: Draylen Mason was the 17 year old musician who was tragically killed this week from a package bomb on his doorstep in Austin, TXÉ??",8083,285,270,-0.05,0.1
Jeremy Scaife,262017903,3/14/2018 18:40,"RT @usblm: Draylen Mason was the 17 year old musician who was tragically killed this week from a package bomb on his doorstep in Austin, TXÉ??",8083,173,114,-0.05,0.1
d a n i ????,2211483091,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,184,210,-0.05,0.1
É??ã?è dee,438638330,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43277,274,965,-0.05,0.1
olivia??ù?,2299530128,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,351,650,-0.05,0.1
Bryan Badolato,7.05E+17,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,149,788,-0.05,0.1
Wilcox,1365405596,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,521,240,-0.05,0.1
DC???¯,2603695147,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,938,858,-0.05,0.1
liciaÉù?ã?è,1033996177,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,386,228,-0.05,0.1
Cobe Brown ????,3273429410,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,359,384,-0.05,0.1
Radical Toddler É??,2866088018,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,3348,317,-0.05,0.1
LA Don,7.78E+17,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,2173,3205,-0.05,0.1
kenz ???™,1005261876,3/14/2018 18:40,"RT @usblm: Draylen Mason was the 17 year old musician who was tragically killed this week from a package bomb on his doorstep in Austin, TXÉ??",8083,506,140,-0.05,0.1
LTrayP,22103980,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,124,414,-0.05,0.1
ariana,539556855,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,945,2542,-0.05,0.1
???? Or Ah ???ˇ,428662390,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,1244,1051,-0.05,0.1
Wobin@School,2469725084,3/14/2018 18:40,"RT @SylviaKAlston: 17 year old honor student and musician- Draylen Mason. He was killed in Austin, TX by a package bomb on his front porch.É??",43280,241,666,-0.05,0.1
