Term,polarity,subjectivity
Afghanistan,0.5,0
Afghanistan,-0.366666667,0.533333333
Afghanistan,-0.25,0.2
Afghanistan,-0.15,0.65
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0.066666667
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0,0
Afghanistan,0.0375,0.4625
Afghanistan,0.083333333,0.166666667
Afghanistan,0.090909091,0.333333333
Afghanistan,0.1,0.383333333
Afghanistan,0.1,0.383333333
Afghanistan,0.136363636,0.5
Afghanistan,0.15,0.55
Afghanistan,0.166666667,0.333333333
Afghanistan,0.166666667,0.333333333
Afghanistan,0.166666667,0.366666667
Afghanistan,0.166666667,0.333333333
Afghanistan,0.166666667,0.333333333
Afghanistan,0.25,0.75
Afghanistan,0.3,0.625
Afghanistan,0.375,0.75
Afghanistan,0.375,0.75
Afghanistan,0.4,0.55
Afghanistan,0.5,0.75
Bomb,0.2,0.5
Bomb,0.5,0.6
Bomb,0,0
Bomb,-0.25,0.6
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,0,0
Bomb,-0.05,0.1
Bomb,0,0.2
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,0.2,0.5
Bomb,-0.05,0.1
Bomb,0.006481481,0.224074074
Bomb,0,0
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,0,0.1
Bomb,0.166666667,0.516666667
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,0,0
Bomb,0.5,0.6
Bomb,0,0
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,0.3,0.6
Bomb,-0.05,0.1
Bomb,0,0
Bomb,0,0
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,0.5,0.6
Bomb,0,0
Bomb,0.5,0.6
Bomb,-0.05,0.1
Bomb,-0.05,0.1
Bomb,0.5,0.5
Bomb,0.5,0.6
Bomb,-0.05,0.1
Attack,0.136363636,0.5
Attack,0,0
Attack,0.285714286,0.535714286
Attack,0.133333333,0.408333333
Attack,0.133333333,0.408333333
Attack,-1,1
Attack,0,0
Attack,-0.15,0.4
Attack,0.361538462,0.634615385
Attack,0.015873016,0.668253968
Attack,-0.125,0.75
Attack,0.1,0.35
Attack,0,0
Attack,0.25,0.25
Attack,-0.025,0.525
Attack,0.3,0.4
Attack,0,0
Attack,0,0
Attack,0,0
Attack,0,0
Attack,-0.4,0.633333333
Attack,0.8,0.75
Attack,-0.95,1
Attack,-0.166666667,0.311111111
Attack,0,0
Attack,0,0.5
Attack,0.55,0.341666667
Attack,0.78125,0.5
Attack,0,0.125
Attack,0.2,0.266666667
Attack,0,0
Attack,-0.166666667,0.066666667
Attack,0.133333333,0.408333333
Attack,0.133333333,0.166666667
Attack,0,0
Attack,-0.265384615,0.430769231
Attack,0.13,0.54
Attack,-0.175,0.45
Attack,0,0
Attack,-0.3,0.466666667
Attack,-0.2,0.35
Attack,-0.5,1
Attack,0,0
Attack,-0.05,0.466666667
Attack,0,0
Attack,-0.5,0.3
Attack,0,0.125
Attack,0.25,0.55
