Rhonda Sexton,8.93056E+17,3/14/2018 18:41,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,4376,4962,-0.4,0.475
CMich,4184343459,3/14/2018 18:41,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,269,370,-0.4,0.475
Patrick Snow,197499879,3/14/2018 18:41,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,294,248,-0.4,0.475
Sue X 🐻,8.80691E+17,3/14/2018 18:40,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,79,285,-0.4,0.475
Ann,8.03011E+17,3/14/2018 18:40,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,717,1496,-0.4,0.475
Mama B,3177941678,3/14/2018 18:40,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,3963,2786,-0.4,0.475
Status Woe Mayo,7.9497E+17,3/14/2018 18:40,RT @oldladydem: @eclecticbrotha Will never forget BS' response to the Pulse nightclub massacre while Jane &amp; others giggled behind him. It w…,49,16250,891,-0.4,0.7
TheDeplorableOneYourMomWarnedYouAbout,30974333,3/14/2018 18:40,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,72,548,-0.4,0.475
Carrie Webb,531244825,3/14/2018 18:40,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,636,283,-0.4,0.475
Daddy trump,8.15359E+17,3/14/2018 18:40,"RT @michellemalkin: Another bloody case of dropped balls and ignored red flags. Violent, ISIS-promoting Muslim teen jihadist was on FBI/Pal…",496,811,895,-0.4,0.475
ChrisS,583940240,3/14/2018 18:40,RT @oldladydem: @eclecticbrotha Will never forget BS' response to the Pulse nightclub massacre while Jane &amp; others giggled behind him. It w…,49,1140,2362,-0.4,0.7
Ian Millard,135139643,3/14/2018 18:41,"The sad fact is that the behaviour of the USA has been not much better, if at all, than that of the ISIS barbarians… https://t.co/hFV06olDb1",0,2774,385,-0.375,0.75
