username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
wasif mehmood,115592591,3/14/2018 18:38,"RT @ZaidZamanHamid: I am 54 today. I guess I need to sober up now. 
To start, let me apologize &amp; say sorry to all the enemies of Pakistan wÉ??",138,68,282,-0.2,0.6
WALEED K ???????? ??ê???ê?,7.49E+17,3/14/2018 18:38,"RT @voadeewa: #Pakistani police on Tuesday registered cases against Manzoor Pashteen &amp; other leaders of Pashtun Protection Movement,#PTM, fÉ??",91,508,2272,-0.125,0.375
Jeanarmanduplessis,8.60E+17,3/14/2018 18:38,"RT @TRobinsonNewEra: Mohammed Sarwar, Labour MP for Glasgow Central, was widely accused of electoral fraud. Now Sarwar is also widely accusÉ??",202,104,106,-0.066666667,0.35
English79 on gab.ai,4158855862,3/14/2018 18:37,"RT @TRobinsonNewEra: Mohammed Sarwar, Labour MP for Glasgow Central, was widely accused of electoral fraud. Now Sarwar is also widely accusÉ??",202,1835,2047,-0.066666667,0.35
Nayyar Siddiqui,2230938764,3/14/2018 18:37,RT @SAFoundationN: Education should be a compulsion &amp; not a choice. The remote and underprivileged areas of Pakistan require major reform wÉ??,90,696,2981,-0.01875,0.35
Khalil,9.67E+17,3/14/2018 18:38,@HamidMirPAK @KhawajaMAsif @Asad_Umar Asad umar @Asad_Umar do not adjust in any political parties in Pakistan bcz hÉ?? https://t.co/QBgaiWldNZ,0,1,136,0,0.1
John Sobieski,8.67E+17,3/14/2018 18:38,"@jeremy_farage @hopenothate Do you know why Muslim marry their 1st cousins, ie 60% in Pakistan?",0,147,268,0,0
ash love joon ??????????è´,2574049199,3/14/2018 18:38,"RT @RadicalMariposa: Support your transgender sisters in the Global South! 

WomenÉ??s March É?? Karachi, Pakistan https://t.co/uVPt22OtDx",3480,22556,45,0,0
Lisa Dawn,8.21E+17,3/14/2018 18:38,"RT @BetBobJo1947: Éù?ã?èSwamp Running ScaredÉù?ã?è""Why does the judge keep postponing the Iman Awan trial?É?ù Because they have fled to Pakistan withÉ??",321,337,226,0,0
???????????? ???? ???????Å??,9.67E+17,3/14/2018 18:38,"RT @AAMIRKHALIL16: Join Jamat.e.Islami now,for the sake of Pakistan
#JIOwnKarachi https://t.co/NaICEwoq6N",11,36,173,0,0
Aubri,8.81E+17,3/14/2018 18:38,"RT @RadicalMariposa: Support your transgender sisters in the Global South! 

WomenÉ??s March É?? Karachi, Pakistan https://t.co/uVPt22OtDx",3480,50,196,0,0
Asad????,359437309,3/14/2018 18:38,"@KomzHolmes https://t.co/cMVIvkeXm9
It ships to Pakistan too.",0,2620,938,0,0
Shahzad Soomro,7.92E+17,3/14/2018 18:38,"RT @AliyyaSay: #????_?Ò????_??????
My Vote and Support Pakistan TehReekY InsaF
My Leader Imran Khan",1,814,1648,0,0
Flavius Mihaies,22589868,3/14/2018 18:38,@nabeelhsid @ShahinaWaheed1 @alois_p @NeilBuhne @TajudeenBello19 @NaokoIshiiGEF @UNIDO @SarwatAdnan1 @GCIPsmesÉ?? https://t.co/gyBz1ZG6rI,0,2327,4021,0,0
Dr Jahanzaib,1153634780,3/14/2018 18:38,"RT @AAMIRKHALIL16: Join Jamat.e.Islami now,for the sake of Pakistan
#JIOwnKarachi https://t.co/NaICEwoq6N",11,1115,2156,0,0
All News Asia,246109715,3/14/2018 18:38,"Now in Asia: Bomb targets police in Pakistan, killing seven people in eastern city of Lahore https://t.co/FHNg4Ne0Nd",0,34768,3,0,0
Sinnanisfey,1587107413,3/14/2018 18:38,"RT @BetBobJo1947: Éù?ã?èSwamp Running ScaredÉù?ã?è""Why does the judge keep postponing the Iman Awan trial?É?ù Because they have fled to Pakistan withÉ??",321,366,827,0,0
Bart R??dbaerd Kluskens,1660966938,3/14/2018 18:38,"RT @iflovecons: Signs of Hope for the Indus River dolphins in Pakistan with population numbers on the rise
https://t.co/uSzSdNLTKh",4,33,52,0,0
