username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Isa,7.54E+17,3/14/2018 18:39,"RT @trtworld: Here's footage of life in Syria before the country's disastrous civil war, and now. How did the world let this happen? https:É??",38,359,361,-0.7,0.8
patricia dreystadt,142335813,3/14/2018 18:39,"RT @Noor_and_Alaa: Dear friends I'm afraid of Death because holecopers are bombing every day by barlles
I'm scared please help us
#SaveGhouÉ??",887,54,243,-0.6,0.9
Simon Peter Onyango,2621173364,3/14/2018 18:39,RT @bigjon203: In cutting @UNRWA funding by 83% the @WhiteHouse will cause untold additional trauma to Palestine refugees in Gaza and SyriaÉ??,2,146,102,-0.6,0.9
Bob Cooper,375222367,3/14/2018 18:39,RT @PoliticalShort: U.S. Monitoring Possible North Korean Military Base in Syria https://t.co/bN8kQP9iid,41,473,293,-0.3,0.7
callmewhatuwant,1390902222,3/14/2018 18:39,RT @EndTimeHeadline: US Monitoring Possible North Korea Military Base in SyriaÉ?? https://t.co/GthfuVOoNb,5,411,224,-0.3,0.7
jrsupple,1928400132,3/14/2018 18:39,RT @SonofLiberty357: ???????? U.S. monitoring info indicating that North Korea may be running large underground military base in Syria that couldÉ??,54,5841,6337,-0.228571429,0.50952381
William Campbell,3134829814,3/14/2018 18:39,RT @AnneBayefsky: Report: The US is monitoring information indicating that North Korea may be running a large underground military base inÉ??,31,260,1058,-0.228571429,0.50952381
Lian,40452231,3/14/2018 18:40,"Funny how that useless woman, Teresa May.. can be that tough on Russian diplomats, but not that tough on known IsisÉ?? https://t.co/nigqIlZK3U",0,247,677,-0.205555556,0.573333333
Fearless_King,320431388,3/14/2018 18:40,"RT @renoomokri: Why is the worldÉ??s attention focused on Syria? In Nigeria, killer Fulani herdsmen have killed thousands of Nigerians in theÉ??",93,353,782,-0.2,0
Cicer??n,2791953405,3/14/2018 18:39,RT @Brasco_Aad: #Russia/n State Duma representatives: The time has come to declare a no fly zone above #Syria | Interfax,85,690,1135,-0.2,0.5
