username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
atif19,2312774903,3/14/2018 18:37,"RT @TalatHussain12: 1. Terror returns to Lahore. Just when we thought we had nailed everything by nailing the Senate, a bloody reminder ofÉ??",161,65,143,-0.8,0.9
Rana Sohail Anwar,7.49E+17,3/14/2018 18:36,"RT @TalatHussain12: 1. Terror returns to Lahore. Just when we thought we had nailed everything by nailing the Senate, a bloody reminder ofÉ??",161,175,612,-0.8,0.9
Americanwoman,9.26E+17,3/14/2018 18:37,"RT @Rose58582386: @Lauren_Southern @darkokovacevi17 Beware! Radical Islam is a terror group not a religion, reD: because they hate, by BrigÉ??",1,3743,4760,-0.4,0.45
Mary Wollstonecraft,101532348,3/14/2018 18:37,RT @JameelJaffer: Should have put a finer point on this. Trump's nominee for CIA Director is *quite literally* a war criminal. This is theÉ??,1579,1584,2087,-0.4,0.55
ZEESHAN MUJTABA,866487218,3/14/2018 18:37,"RT @AJENews: ""Sadly it is reflective of hate against Muslims which continues to manifest itself alongside the rise of the far right.""

UK cÉ??",281,178,477,-0.228571429,0.858928571
pensomolt piulopoc,1924760269,3/14/2018 18:36,"RT @amnesty: Meet @NytoRukeli, the 23 y.o. Spanish rapper who is facing jail for his lyrics. Rapping is not terrorism. But in #Spain authorÉ??",527,176,655,-0.05,0
WorldWide News,1937181030,3/14/2018 18:37,Terror Police Investigate 'Unexplained' Death Of Russian Exile Nikolai Glushkov - HuffPost UK https://t.co/yrMAU8qwLs #WePostNews,0,129,0,-0.025,0
Mart?? ????ã?è,2762862658,3/14/2018 18:37,"RT @amnesty: Tweeting a joke is not a crime.

Rapping is not terrorism.

A puppet show shouldn't land you in jail. 

SpainÉ??s broad and vaguÉ??",395,74,216,-0.01875,0.15625
Thekitabwala.com,3197089142,3/14/2018 18:37,"Terror Funding Case: NIA Questions Six, Including Syed SalahuddinÉ??s Son https://t.co/ac8GOvymgL",0,501,45,0,0
Marine Mark ???ß????,512549711,3/14/2018 18:37,"RT @BlessPres45: ???˙É?çÉ??ã?èWhy Haven't We Heard Updates on #LasVegasShooting????
É?≠ã?èHuge Division in #FBI...those that support liberal agenda vs. thoÉ??",263,3898,4743,0,0
Khurshid Reza,9.28E+17,3/14/2018 18:37,RT @pbhushan1: Aseemanand's confessional statement in the Mecca Masjid blast case giving details of Hindu terror conspiracy to carry out blÉ??,506,0,71,0,0
CJ Ronneberg,69519762,3/14/2018 18:37,Muslim serving 25 years for jihad terror plot slits throat of prison warden via Geller Report - When a Muslim enterÉ?? https://t.co/Ekj7brOoZD,0,5664,6387,0,0
